experiment_id,instance,max_iterations,initial_temperature,cooling_rate,mutation,best_makespan,success,error
1,ft10,5000,1000,0.995,swap,1066,True,
2,ft10,5000,1000,0.995,inversion,1068,True,
3,ft10,10000,1500,0.99,swap,1091,True,
4,ft10,10000,1500,0.99,inversion,1067,True,
5,ft10,15000,2000,0.995,swap,1078,True,
6,ft10,15000,2000,0.99,inversion,1103,True,
