experiment_id,instance,max_iterations,initial_temperature,cooling_rate,mutation,best_makespan,success,error
1,abz7,5000,1000,0.995,swap,777,True,
2,abz7,5000,1000,0.995,inversion,883,True,
3,abz7,10000,1500,0.99,swap,764,True,
4,abz7,10000,1500,0.99,inversion,815,True,
5,abz7,15000,2000,0.995,swap,749,True,
6,abz7,15000,2000,0.99,inversion,799,True,
