experiment_id,instance,population_size,max_generations,selection,crossover,mutation,best_makespan,success,error
1,abz7,30,50,tournament,ox,swap,965,True,
2,abz7,50,100,tournament,pmx,swap,929,True,
3,abz7,30,50,rank,ox,inversion,1019,True,
4,abz7,50,100,rank,pmx,inversion,950,True,
5,abz7,40,75,tournament,ox,inversion,988,True,
6,abz7,40,75,rank,pmx,swap,944,True,
