experiment_id,instance,population_size,max_generations,selection,crossover,mutation,best_makespan,success,error
1,ft10,30,50,tournament,ox,swap,1275,True,
2,ft10,50,100,tournament,pmx,swap,1182,True,
3,ft10,30,50,rank,ox,inversion,1241,True,
4,ft10,50,100,rank,pmx,inversion,1166,True,
5,ft10,40,75,tournament,ox,inversion,1180,True,
6,ft10,40,75,rank,pmx,swap,1172,True,
